java.util.Locale,SOURCE_DATABASE
java.util.Calendar,SOURCE_CALENDAR
java.util.Base64.Decoder,SOURCE_OBFUSCATION
java.io.OutputStream,SINK_FILE
java.io.FileOutputStream,SINK_FILE
java.io.Writer,SINK_FILE
java.io.Writer,SINK_FILE
java.io.OutputStreamWriter,SINK_FILE
java.io.InputStream,SOURCE_FILE
java.io.InputStream,SOURCE_FILE
java.io.InputStream,SOURCE_FILE
java.io.InputStream,SINK_FILE
java.io.BufferedReader,SOURCE_FILE
java.io.BufferedReader,SOURCE_FILE
java.io.BufferedReader,SOURCE_FILE
java.io.BufferedWriter,SINK_FILE
java.io.ByteArrayOutputStream,SINK_FILE
java.io.CharArrayWriter,SINK_FILE
java.io.Console,SINK_FILE
java.io.Console,SINK_FILE
java.io.Console,SOURCE_FILE
java.io.Console,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataInputStream,SOURCE_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.DataOutputStream,SINK_FILE
java.io.File,SINK_FILE
java.io.File,SINK_FILE
java.io.File,SINK_FILE
java.io.File,SINK_FILE
java.io.File,SINK_FILE
java.io.FileInputStream,SOURCE_FILE
